Age Range,Gender,Location,Language,Interest,Device Type,Online Purchase Behavior,Ad Engagement (Clicks/Views),Time Spent on Platform (mins),Page Likes,Ad Impressions,Recent Ad Interaction,Ad Placement,Ad Format,Lookalike Score
45-54,Female,Texas,Chinese,Travel,Mobile,Rare,11,25.9,9,11,Clicked,Stories,Video,0.69
35-44,Male,Texas,Hindi,Gaming,Desktop,Frequent,72,6.8,6,41,Viewed,Stories,Carousel,0.31
18-24,Female,Texas,French,Fitness,Mobile,Frequent,16,93.2,9,27,Clicked,Messenger,Video,0.58
45-54,Female,Florida,Spanish,Food,Mobile,Frequent,58,87.2,10,17,Viewed,Messenger,Video,0.51
55+,Non-binary,California,Spanish,Technology,Mobile,Frequent,66,6.3,7,3,Clicked,Stories,Carousel,0.1
35-44,Male,California,English,Gaming,Desktop,Frequent,42,29.1,17,46,Viewed,Feed,Carousel,0.33
45-54,Non-binary,California,Spanish,Food,Desktop,Frequent,23,88.6,14,37,Viewed,Messenger,Image,0.21
18-24,Male,Illinois,Chinese,Technology,Mobile,Occasional,51,66.4,10,35,Clicked,Stories,Image,0.73
18-24,Non-binary,Florida,Chinese,Technology,Desktop,Frequent,84,10.7,14,5,Ignored,Stories,Carousel,0.38
18-24,Female,California,English,Travel,Desktop,Frequent,85,55.4,16,19,Viewed,Stories,Video,0.4
55+,Male,New York,Hindi,Fitness,Tablet,Occasional,42,19.3,16,6,Ignored,Feed,Image,0.72
35-44,Non-binary,Illinois,French,Travel,Mobile,Frequent,72,11.4,3,3,Clicked,Feed,Image,0.81
35-44,Non-binary,California,Hindi,Fitness,Desktop,Frequent,89,80.9,9,12,Viewed,Feed,Image,0.73
18-24,Male,Texas,Chinese,Technology,Mobile,Frequent,66,27.7,10,1,Clicked,Messenger,Video,0.73
55+,Non-binary,Illinois,English,Travel,Tablet,Occasional,46,1,8,18,Viewed,Stories,Carousel,0.66
55+,Female,New York,Hindi,Gaming,Mobile,Occasional,16,19.9,10,14,Ignored,Messenger,Video,0.26
55+,Non-binary,New York,French,Gaming,Tablet,Occasional,74,16.1,12,2,Ignored,Feed,Image,0.85
45-54,Male,Texas,Hindi,Fitness,Mobile,Occasional,91,46.9,11,31,Clicked,Messenger,Image,0.95
18-24,Male,Florida,Chinese,Technology,Mobile,Frequent,54,21.1,9,21,Ignored,Stories,Image,1
55+,Female,Illinois,French,Technology,Tablet,Frequent,38,18.4,7,6,Ignored,Feed,Image,0.3
18-24,Female,Illinois,French,Food,Mobile,Frequent,76,34.6,12,25,Ignored,Feed,Image,0.17
18-24,Male,New York,Chinese,Travel,Desktop,Frequent,87,24.2,7,45,Viewed,Stories,Video,0.06
45-54,Non-binary,Florida,Chinese,Fitness,Tablet,Occasional,16,2.4,5,23,Ignored,Messenger,Carousel,0.39
