SquareFeet,NumBedrooms,NumBathrooms,LotSize,YearBuilt,IncomeOfArea,HomeType,Region,SchoolQuality,Price
2248.3570765056165,2,2.8476253936145195,380.2676623265055,2001,67313.3277648106,Apartment,West,Medium,193675.63190229522
1930.8678494144076,1,3.9920720459941323,455.7801701639442,1990,69879.43098498015,Single Family,East,Medium,184473.61395425012
2323.844269050346,5,1.8760241484113696,6.721189918050739,2015,64277.76247865818,Single Family,South,Low,192745.30322364115
2761.514928204013,2,2.8924301387995874,371.4705543437814,1976,58881.87255675619,Condo,East,High,237708.1531474628
1882.923312638332,1,1.01386496510202,428.4967303861268,1942,88436.9588140809,Single Family,East,Medium,112315.38785528974
1882.9315215254096,5,2.812979836890695,554.4033564893915,1946,62608.86115501477,Single Family,South,Medium,141038.2346460442
2789.6064077536957,4,2.341204928283454,92.79782068167692,2013,62103.879434024166,Apartment,North,High,178542.820422106
2383.717364576454,2,2.590879460394021,138.12336126077756,1982,68060.58864776677,Townhouse,South,High,175956.7299671995
1765.262807032524,4,2.6317149024771513,705.3030181072206,1918,91367.71721282213,Single Family,West,Medium,166730.13456616222
2271.2800217929826,3,1.5308589078995611,91.7444109078091,1969,86967.48840545969,Condo,North,Medium,186771.99728647288
1768.291153593769,5,3.309904365637871,268.94947082333226,1946,64077.27445648769,Apartment,North,Low,140568.70219183704
1767.1351232148716,5,2.666408863031017,144.16795573823222,2016,88401.78138338016,Townhouse,West,Low,168265.4030463713
2120.981135783017,2,1.8105833784909824,393.9312826289066,1977,,Apartment,West,High,184453.9876699797
1043.359877671101,5,3.8121446396962972,2166.461351484223,1904,57348.62097987947,Townhouse,East,Medium,129946.95561388956
1137.5410837434836,3,1.038321130012168,955.3995517011182,1963,62858.059779948904,Single Family,South,High,140972.70997622525
1718.8562353795137,5,3.1778116419993676,156.9954608650655,2006,90598.80803925592,Townhouse,West,High,150643.0583037209
1493.5844398327881,1,2.1437055569713115,229.91720420779305,2015,101242.6789535367,Townhouse,South,Low,175081.72659020495
2157.123666297637,4,2.567634493933921,1254.3963262495147,1944,74797.25138129803,Single Family,North,High,178848.80972930233
1545.9879622393946,3,1.8745292483367448,1142.8392705548038,1963,61501.94257475472,Condo,West,Low,160809.42164731398
1293.8481493323543,3,1.9637565287900598,87.49110100409422,1944,68126.2379848908,Condo,North,Low,122498.96140802673
2732.824384460777,4,1.0454986438327043,883.8392733176186,1935,58563.33727091619,Single Family,East,High,238537.68046799995
1887.1118497567322,4,3.1895352661357066,176.6317453465122,1908,60748.54931615126,Apartment,East,Low,172667.25932696767
,3,3.1323952324021556,392.41544722397947,1922,59274.283033047715,Apartment,West,Medium,171722.36325239635
1287.6259068932716,4,2.9630746012216664,2.5557152108011802,1931,68809.84378752015,Townhouse,West,Medium,110768.91411199677
1727.8086377374086,2,3.6338520417520237,3282.150485550892,1992,71810.2155468689,Apartment,West,Low,179667.66632241587
,4,3.703802741675302,715.8477236155451,1944,67777.58288977316,Apartment,North,Medium,151408.80731469407
1424.5032112888484,1,2.669332958275766,138.35989580642755,1927,66680.15598217644,Single Family,West,High,185573.0116827316
2187.849009172836,1,3.054470476201188,575.682103384666,2003,,Single Family,East,Low,198469.54010011774
1699.6806550405975,2,1.0329952032113794,173.57972496899458,1951,66561.8661261183,Townhouse,West,Medium,128862.52489239312
1854.1531251033616,4,3.539029176625596,46.856425798583786,1910,67524.76284049399,Apartment,West,Low,167227.61540633076
1699.1466938853016,1,3.4492402723884927,276.9622190392281,1918,67351.59593460841,Townhouse,North,High,194504.60246270392
2926.139092254469,5,1.0607458552704847,475.5949194933825,1963,93149.31599426904,Single Family,South,Low,223980.78242635744
1993.2513876310331,4,2.6284756502251545,47.033078976333606,1964,62631.78062761379,Apartment,East,Medium,161287.23247111682
1471.1445355220499,2,3.7199667113118084,365.32723170693794,1972,78944.44160412301,Townhouse,South,High,153457.6928097575
2411.2724560515944,4,1.5441639610938414,361.6632470582864,1956,58774.33459093809,Townhouse,North,High,173102.94621086592
1389.5781750144888,3,2.0579347646712947,495.29872425272646,1965,75249.17247137894,Condo,West,High,168737.14627792
2104.431797502378,3,1.9931610355560432,140.2841434524837,1903,78193.49787682506,Condo,West,High,161554.33567008967
1020.1649380601123,1,2.0678214261992545,10.428748192889504,1928,86263.88930204108,Apartment,East,High,135526.11872697074
1335.9069755507849,3,1.1256580913653063,196.41575462053362,1903,64235.977460611524,Apartment,West,High,161080.0038446073
2098.4306179345617,2,1.8370530512960992,254.2318680480511,1900,53290.56152762228,Single Family,North,High,172033.20267358996
2369.2332899977055,1,1.8845689381007067,504.9451380107419,1991,58240.22015109137,Single Family,South,Medium,211753.41091702392
2085.6841405949854,2,3.5976161454687734,1330.8591155894062,1917,84468.12359705007,Single Family,East,Low,175852.25917007306
1942.1758588058797,2,2.0563480213951078,113.6922173203276,2009,101226.27418730009,Condo,West,Low,154949.39672796117
1849.4481522053557,3,2.341650219680654,581.3092817662746,1912,82516.80118019079,Townhouse,West,Low,182072.76906466178
1260.7390048162863,3,2.142214179641166,51.23839954696021,2003,51067.908553174726,Single Family,South,High,135093.87971568314
1640.0778958026458,2,1.3620203488047453,105.74446276067393,1969,82009.79321669256,Condo,South,Low,137438.65971723179
1769.6806145201062,3,3.9710702731768723,355.79257151842114,1948,55843.13363467688,Single Family,West,Low,153505.12936726792
2528.561113109458,3,3.4774755721141926,616.1476963883006,2018,64762.86074303141,Condo,West,Low,176363.36535973105
2171.8091447842307,3,2.6227609210821003,977.970016087558,2006,72808.46615297941,Condo,North,High,180309.01332371708
1118.479922318633,4,2.429093483167514,681.1003434012032,1946,75330.53283206446,Apartment,South,High,174170.07403164805
2162.0419846973973,2,2.947764176389027,7.735930606824023,2002,70981.63142006825,Townhouse,South,Low,198575.6406280102
1807.4588597918419,5,1.9792934455697146,575.8978829832234,1985,60983.31779425618,Condo,South,Medium,171207.591276792
1661.5389998470207,2,1.1508486110634357,870.507618319549,1929,85899.37397011502,Townhouse,North,Medium,162221.58018229608
2305.8381444204338,1,2.2129504408440615,372.78210820070143,1926,62086.5039265411,Single Family,South,Low,204900.26355724165
2515.4997612479756,3,3.9519327322235824,1684.8303310123686,1971,88817.69118042983,Apartment,North,Low,203971.0663714853
2465.6400595580994,3,1.5470404176331685,2.160873878475014,2006,49609.301638155,Apartment,East,Medium,152313.0334903114
